,stock,description,tokenized_description
154,德龙激光,"['国产', '激光', '精密', '加工', '先驱', '突破', '激光', '巨量', '转移', '技术']","['国产', '激光', '精密', '加工', '先驱', '突破', '激光', '巨量', '转移', '技术']"
155,药明康德,"['Q2', '疫情', '扰动', '有限', '主业', '持续', '强劲', '，', '全年', '高增', '有望', '持续']","['Q2', '疫情', '扰动', '有限', '主业', '持续', '强劲', '，', '全年', '高增', '有望', '持续']"
156,长安汽车,"['深蓝', 'SL03', '正式', '上市', '增程', '版', '16.89', '万元', '起售']","['深蓝', 'SL03', '正式', '上市', '增程', '版', '16.89', '万元', '起售']"
157,华铁应急,"['高空作业', '平台', '持续', '高', '景气', '轻', '资产', '模式', '下', '设备', '规模', '快速', '扩张']","['高空作业', '平台', '持续', '高', '景气', '轻', '资产', '模式', '下', '设备', '规模', '快速', '扩张']"
158,天合光能,"['纵横捭阖', '大有可为']","['纵横捭阖', '大有可为']"
159,拓邦股份,"['Q2', '业绩', '环比', '大幅', '改善', '新能源', '业务', '高', '增长']","['Q2', '业绩', '环比', '大幅', '改善', '新能源', '业务', '高', '增长']"
160,新大陆,"['数币', '产业', '联盟', '核心', '地位', '确立', '收单', '与', '设备', '业务', '均', '有望', '加速']","['数币', '产业', '联盟', '核心', '地位', '确立', '收单', '与', '设备', '业务', '均', '有望', '加速']"
161,航天宏图,"['加码', '员工', '股权', '激励', '考核', '目标', '彰显', '云化', '转型', '信心']","['加码', '员工', '股权', '激励', '考核', '目标', '彰显', '云化', '转型', '信心']"
162,慕思股份,"['床垫', '龙头', '扬帆远航', '品牌', '领先', '强者', '恒强']","['床垫', '龙头', '扬帆远航', '品牌', '领先', '强者', '恒强']"
163,新大正,"['疫情', '下', '收入', '业绩', '高增', '外拓', '取得', '优良', '成果']","['疫情', '下', '收入', '业绩', '高增', '外拓', '取得', '优良', '成果']"
164,联泓新科,"['光伏', '级', 'EVA', '龙头', '立足', '一体化', '产业链', '打造', '新', '材料', '矩阵']","['光伏', '级', 'EVA', '龙头', '立足', '一体化', '产业链', '打造', '新', '材料', '矩阵']"
165,心脉医疗,"['发布', '定增', '公告', '创新', '研发', '和', '产能', '扩建', '加速', '进行']","['发布', '定增', '公告', '创新', '研发', '和', '产能', '扩建', '加速', '进行']"
166,常熟银行,"['营收', '超出', '预期', '利润', '增速', '有望', '持续', '改善']","['营收', '超出', '预期', '利润', '增速', '有望', '持续', '改善']"
167,山东赫达,"['二季度', '业绩', '符合', '预期']","['二季度', '业绩', '符合', '预期']"
168,中科曙光,"['预计', '前', '三季度', '海光', '业绩', '增速', '392', '％', '＋', '信创', '高', '景气', '持续']","['预计', '前', '三季度', '海光', '业绩', '增速', '392', '％', '＋', '信创', '高', '景气', '持续']"
169,壹石通,"['疫情', '影响', 'Q2', '出货', '全年', '业绩', '有望', '高增']","['疫情', '影响', 'Q2', '出货', '全年', '业绩', '有望', '高增']"
170,华侨城A,"['武汉', '项目', '十年', '路', '襄阳', '再绘', '新', '蓝图']","['武汉', '项目', '十年', '路', '襄阳', '再绘', '新', '蓝图']"
171,时代电气,"['电', '驱动', '系统', '与', '功率', '器件', '双轮', '驱动', '新兴', '业务', '高速', '增长']","['电', '驱动', '系统', '与', '功率', '器件', '双轮', '驱动', '新兴', '业务', '高速', '增长']"
172,兴业银行,"['大', '股东', '增持', '彰显', '公司', '长期', '价值']","['大', '股东', '增持', '彰显', '公司', '长期', '价值']"
173,贵州茅台,"['品牌', '力', '再', '提升', '改革', '全面', '提速']","['品牌', '力', '再', '提升', '改革', '全面', '提速']"
174,复星医药,"['签约', '获得', '首家', '国产', '新冠', '药物', '商业化', '权利', '丰富', '新冠', '产品线']","['签约', '获得', '首家', '国产', '新冠', '药物', '商业化', '权利', '丰富', '新冠', '产品线']"
175,新大正,"['上半年', '外拓', '积极', '全年', '业绩', '料', '稳健', '兑现']","['上半年', '外拓', '积极', '全年', '业绩', '料', '稳健', '兑现']"
176,长春高新,"['完成', '股权', '激励', '首次', '授予', '增长', '确定性', '再', '提升']","['完成', '股权', '激励', '首次', '授予', '增长', '确定性', '再', '提升']"
177,比音勒芬,"['产品升级', '快速', '成长']","['产品升级', '快速', '成长']"
178,台华新材,"['国产', '己二腈', '投产', '在', '即', '上游', '切片', '降价', '预期', '增强']","['国产', '己二腈', '投产', '在', '即', '上游', '切片', '降价', '预期', '增强']"
179,东威科技,"['解决', '锂电池', '自燃', '设备', '龙头', '爆发']","['解决', '锂电池', '自燃', '设备', '龙头', '爆发']"
180,人福医药,"['高质量', '内生', '增长', '的', '麻醉', '细分', '领域', '龙头', '—', '—', '公司', '深度', '报告']","['高质量', '内生', '增长', '的', '麻醉', '细分', '领域', '龙头', '—', '—', '公司', '深度', '报告']"
181,好利科技,"['新能源', '领域', '快速增长', '“', 'XYZ', '”', '战略', '布局', 'GPU']","['新能源', '领域', '快速增长', '“', 'XYZ', '”', '战略', '布局', 'GPU']"
182,芯碁微装,"['PCB', '直写', '光刻', '高速', '增长', '泛', '半导体', '设备', '放量', '可', '期']","['PCB', '直写', '光刻', '高速', '增长', '泛', '半导体', '设备', '放量', '可', '期']"
183,心脉医疗,"['新一期', '定增', '预案', '公布', '扩大', '产能', '及', '研发', '布局']","['新一期', '定增', '预案', '公布', '扩大', '产能', '及', '研发', '布局']"
184,长安汽车,"['深蓝', '03', '上市', '品牌', '向上', '新起点']","['深蓝', '03', '上市', '品牌', '向上', '新起点']"
185,藏格矿业,"['受益', '于', '钾', '锂', '景气', '持续', '22H1', '业绩', '大增', '锂', '盐', '资源', '布局', '行业', '领先']","['受益', '于', '钾', '锂', '景气', '持续', '22H1', '业绩', '大增', '锂', '盐', '资源', '布局', '行业', '领先']"
186,海波重科,"['深耕', '桥梁', '钢结构', '探索', '数字化', '转型', '升级']","['深耕', '桥梁', '钢结构', '探索', '数字化', '转型', '升级']"
187,中牧股份,"['养殖', '后', '周期', '全', '覆盖', '迈出', '市场化', '改革', '新', '步伐']","['养殖', '后', '周期', '全', '覆盖', '迈出', '市场化', '改革', '新', '步伐']"
188,Q2酒类,"['酒类', '行业', '2022', '年', '中报', '业绩', '前瞻', '暨', '基金', '持仓', '分析']","['酒类', '行业', '2022', '年', '中报', '业绩', '前瞻', '暨', '基金', '持仓', '分析']"
189,食品板块,"['从', '蹒跚', '前行', '走向', '昂扬', '上行']","['从', '蹒跚', '前行', '走向', '昂扬', '上行']"
190,鼎捷软件,"['聚焦', '优势', '行业', '经营', '区域', '裂解', '支撑', '业绩', '稳增']","['聚焦', '优势', '行业', '经营', '区域', '裂解', '支撑', '业绩', '稳增']"
191,东北地产,"['成交', '端', '新房', '回落', '、', '二手', '上升', '郑州', '地产', '与', '河南', '资管', '计划', '设立', '纾', '困', '基金']","['成交', '端', '新房', '回落', '、', '二手', '上升', '郑州', '地产', '与', '河南', '资管', '计划', '设立', '纾', '困', '基金']"
192,22Q2,"['白酒', '大幅', '加配', '食饮', '板块', '整体', '超配', '比例', '明显增加']","['白酒', '大幅', '加配', '食饮', '板块', '整体', '超配', '比例', '明显增加']"
193,电子行业,"['关注', '成本', '改善', '型', '企业', '的', '利润', '弹性']","['关注', '成本', '改善', '型', '企业', '的', '利润', '弹性']"
194,商贸零售,"['2Q22', '公募', '基金', '持仓', '分析']","['2Q22', '公募', '基金', '持仓', '分析']"
195,普源精电,"['国产', '科学仪器', '龙头', '自研', '芯片', '扩大', '发展', '优势']","['国产', '科学仪器', '龙头', '自研', '芯片', '扩大', '发展', '优势']"
196,Quec,"['GPM', '_', 'improved', '_', 'in', '_', '2Q22', '；', 'ample', '_', 'orders', '_', 'fuel', '_', 'sustained', '_', 'earnings']","['GPM', '_', 'improved', '_', 'in', '_', '2Q22', '；', 'ample', '_', 'orders', '_', 'fuel', '_', 'sustained', '_', 'earnings']"
197,Nanj,"['Conventional', '_', 'businesses', '_', 'posted', '_', 'strong', '_', 'growth', '_', 'despite', '_', 'COVID', '－', '19']","['Conventional', '_', 'businesses', '_', 'posted', '_', 'strong', '_', 'growth', '_', 'despite', '_', 'COVID', '－', '19']"
198,明月镜片,"['离', '焦镜', '临床', '进度', '发布', '彰显', '产品', '力', '信心']","['离', '焦镜', '临床', '进度', '发布', '彰显', '产品', '力', '信心']"
199,航发动力,"['交付', '加速', '谱系', '拓展', '，', '航发', '龙头', '迎来', '向上', '发展', '拐点']","['交付', '加速', '谱系', '拓展', '，', '航发', '龙头', '迎来', '向上', '发展', '拐点']"
200,龙芯中科,"['自主', '创新', '最', '彻底', '国产', 'CPU', '构建', '独立', '生态', '迎', '产业', '良机']","['自主', '创新', '最', '彻底', '国产', 'CPU', '构建', '独立', '生态', '迎', '产业', '良机']"
201,隆利科技,"['车载', '显示', '和', 'VR', '双轮', '驱动', '公司', '步入', '高质量', '增长期']","['车载', '显示', '和', 'VR', '双轮', '驱动', '公司', '步入', '高质量', '增长期']"
202,招商南油,"['成品油', '运', '景气', '上行', '招商', '南油', '开启', '改善', '周期']","['成品油', '运', '景气', '上行', '招商', '南油', '开启', '改善', '周期']"
203,中控技术,"['下游', '维持', '高', '景气', '公司业绩', '快速增长']","['下游', '维持', '高', '景气', '公司业绩', '快速增长']"
204,东威科技,"['业绩', '增速', '快于', '营收', '持续', '看好', '公司', '中长期', '发展']","['业绩', '增速', '快于', '营收', '持续', '看好', '公司', '中长期', '发展']"
205,新兴铸管,"['铸管', '行业龙头', '企业']","['铸管', '行业龙头', '企业']"
206,申能股份,"['电量', '受', '疫情', '拖累', '市场化', '交易', '助推', '电价', '如期', '提升']","['电量', '受', '疫情', '拖累', '市场化', '交易', '助推', '电价', '如期', '提升']"
207,瑞可达深,"['深耕', '汽车', '赛道', '加速', '连接', '未来']","['深耕', '汽车', '赛道', '加速', '连接', '未来']"
208,华海清科,"['国产', '唯一', '半导体', 'CMP', '设备', '量产', '供应商', '21H1', '收入', '利润', '超', '预期']","['国产', '唯一', '半导体', 'CMP', '设备', '量产', '供应商', '21H1', '收入', '利润', '超', '预期']"
209,中国船舶,"['整合', '加速', '＋', '景气', '上行']","['整合', '加速', '＋', '景气', '上行']"
210,泸州老窖,"['产品线', '布局', '逐渐', '清晰', '多', '产品', '共振', '提速', '发展']","['产品线', '布局', '逐渐', '清晰', '多', '产品', '共振', '提速', '发展']"
211,征和工业,"['链传动', '行业', '隐形', '冠军', '工业', '链', '市场', '逐步', '开拓']","['链传动', '行业', '隐形', '冠军', '工业', '链', '市场', '逐步', '开拓']"
212,建筑材料,"['行业', '需求', '淡季', '关注', '新', '材料', '板块', '机会']","['行业', '需求', '淡季', '关注', '新', '材料', '板块', '机会']"
213,食品饮料,"['白酒', '具备', '韧性', '食品', '明确', '底部']","['白酒', '具备', '韧性', '食品', '明确', '底部']"
214,容知日新,"['业绩', '持续', '高', '增长', '工业', '智能', '运维', '龙头', '地位', '凸显']","['业绩', '持续', '高', '增长', '工业', '智能', '运维', '龙头', '地位', '凸显']"
215,永冠新材,"['胶带', '成本', '端', '减压', '新产线', '贡献', '增量']","['胶带', '成本', '端', '减压', '新产线', '贡献', '增量']"
216,复苏仍是,"['2022', '年', '食品饮料', '行业', '夏季', '策略', '会', '与', '调研', '反馈']","['2022', '年', '食品饮料', '行业', '夏季', '策略', '会', '与', '调研', '反馈']"
217,旺能环境,"['布局', '动力电池', '资源化', '利用', '打造', '固废', '综合治理', '平台']","['布局', '动力电池', '资源化', '利用', '打造', '固废', '综合治理', '平台']"
218,英维克,"['股权', '激励', '正式', '授予', '储能', '温控', '加速', '成长']","['股权', '激励', '正式', '授予', '储能', '温控', '加速', '成长']"
219,新大正,"['新', '拓展', '保持', '积极', '二季度', '业绩', '提速']","['新', '拓展', '保持', '积极', '二季度', '业绩', '提速']"
220,中国铝业,"['电解铝', '巨头', '呼之欲出', '补齐', '绿电', '短板']","['电解铝', '巨头', '呼之欲出', '补齐', '绿电', '短板']"
221,中国中免,"['Q3', '基本面', '拐点', '确立', '盈利', '改善', '＋', '产能', '扩张', '有望', '释放', '成长', '动力']","['Q3', '基本面', '拐点', '确立', '盈利', '改善', '＋', '产能', '扩张', '有望', '释放', '成长', '动力']"
222,天合光能,"['各', '环节', '盈利', '持续', '向', '好', '看好', '下半年', '量利', '双升']","['各', '环节', '盈利', '持续', '向', '好', '看好', '下半年', '量利', '双升']"
223,中泰周期,"['周期', '品周度', '运行', '变化', '—', '—', '第', '78', '期']","['周期', '品周度', '运行', '变化', '—', '—', '第', '78', '期']"
